Name,Alt_name,q,S1x,S1y,S1z,S2x,S2y,S2z,relaxed_eccentricity,no_of_orbits,Remnant_spin_hor,Calculated_Spin,Deviation_from_Horizon,Error_Estimate,Max_Error(Magnitutde),Max_Error_Source,Remnant_Mass_Hor,Remnant_Mass_Calc,Deviation_from_Horizon,Error_Estimate,Max_Error,Max_Error_Source,Kick(km/s),Total_Error(km/s),Max_Error,Max_Error_Source,V_mode(km/s),V_trunc(km/s),V_extrap(km/s),V_junk(km/s),V_downsample(km/s)
d13_q4_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0167,4,0,0,0,0,0,0,<9.9e-05,15.5908,0.4716,0.4756,0.0041,,0.0037,Junk Radiation,0.9779,0.9781,0.0002,0.0002*,0.0002,Extrapolation,155.823356,1.078591*,1.055557,Extrapolation,0.10277,-,1.055557,0.134665,0.143046
d13_q3_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0168,3,0,0,0,0,0,0,<1.1e-04,15.6388,0.5406,0.5516,0.011,,0.0105,Junk Radiation,0.9713,0.9716,0.0003,0.0004*,0.0003,Extrapolation,168.876772,1.496699*,1.148275,Extrapolation,0.006947,-,1.148275,0.948675,0.146768
d13_q2_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0169,2,0,0,0,0,0,0,<1.2e-04,15.6805,0.6234,0.6304,0.007,,0.0068,Extrapolation,0.9612,0.9614,0.0002,0.0004*,0.0004,Extrapolation,146.793936,1.042637*,0.922712,Extrapolation,0.007374,-,0.922712,0.471136,0.116918
d13_q1_sA_0_0_0.44_sB_0_0_0.44/Lev6,SXS:BBH:0170,1,-0.0008,-0.0008,0.4365,0.0008,0.0008,0.4365,<1.3e-4,15.5294,0.814,0.8347,0.0207,,0.0208,Junk Radiation,0.9358,0.9363,0.0005,0.0009,0.0007,Extrapolation,0.264434,0.612155,0.612098,Truncation,0.000005,0.612098,0.006178,0.005532,0.000905
d13_q1_sA_0_0_-0.44_sB_0_0_-0.44/Lev6,SXS:BBH:0171,1,-0.0012,-0.0012,-0.4376,0.0012,0.0012,-0.4376,<1.3e-04,10.5591,0.5479,0.5636,0.0157,,0.0159,Junk Radiation,0.9611,0.9615,0.0004,0.0006,0.0004,Extrapolation,0.115069,0.240062,0.240038,Truncation,0.000001,0.240038,0.001382,0.003105,0.000316
BBH_SKS_d15.4_q1_sA_0_0_0.990_sB_0_0_0.990/Lev4,SXS:BBH:0177,1,0,0,0.9893,0,0,0.9893,0.00126,25.4043,0.9489,0.9598,0.0109,,0.0247,Junk Radiation,0.8873,0.8878,0.0005,0.0111*,0.011,Junk Radiation,0.063451,0.227267*,0.225411,Junk Radiation,0.0001,-,0.028985,0.225411,0.000055
BBH_SKS_d14_q6_sA_0_0_0_sB_0_0_0/Lev4,SXS:BBH:0181,6,0,0,0,0,0,0,0.0000576,26.4685,0.3725,0.3142,0.0583,,0.0029,Junk Radiation,0.9854,0.9856,0.0001,0.0002,0.0001,Junk Radiation,113.651907,3.117129,2.92473,Junk Radiation,0.179485,0.061614,1.055703,2.92473,0.109223
BBH_SKS_d15.5_q1.52_sA_0_0_0_sB_0_0_0/Lev3,SXS:BBH:0194,1.517,0,0,0,0,0,-0.0001,0.00074,19.5869,0.6628,0.6722,0.0094,,0.0136,Junk Radiation,0.9555,0.9556,0.0002,0.0047,0.0047,Junk Radiation,103.493217,43.334957,42.969651,Junk Radiation,0.005535,5.602531,0.363337,42.969651,0.085231
BBH_SKS_d16_q1.20_sA_0_0_0_sB_0_0_0/Lev5,SXS:BBH:0198,1.203,0,0,-0.0001,0,0,0.0001,0.0001745,20.7266,0.6818,0.6999,0.0181,,0.0212,Junk Radiation,0.9524,0.9527,0.0003,0.0072,0.0072,Junk Radiation,44.68887,271.645007,271.621815,Junk Radiation,0.009092,3.515406,0.490005,271.621815,0.032464
BBH_SKS_d15_q2.32_sA_0_0_0_sB_0_0_0/Lev3,SXS:BBH:0201,2.316,0,0,0.0001,0,0,0,-0.99999,20.0168,0.5963,0.604,0.0077,,0.009,Junk Radiation,0.9648,0.965,0.0002,0.0025,0.0025,Junk Radiation,158.815352,115.005849,114.985089,Junk Radiation,0.067067,2.152326,0.348391,114.985089,0.127752
